state,N,P,K,temperature,humidity,ph,rainfall,season,crop
Manipur,95.93,33.7,48.24,24.07,62.2,5.77,0,September to March,tomato
Karnataka,51.81,42.73,61.29,22.3,64,6.62,0.79,October to March,onion
Haryana,89.73,57.95,45.95,17.55,63.1,6.47,0.39,November to March,wheat
Chhattisgarh,57.67,41.08,40.46,25.91,64.9,6.35,0.47,September to March,tomato
Kerala,81.85,41.75,71.05,26.63,83.5,5.77,15.14,April to September,tea
Maharashtra,70.49,40.52,58.37,29.98,47.1,6.15,6.07,June to September,jowar
Himachal Pradesh,54.83,28.15,37.75,26.37,68.4,5.57,1.03,June to September,soybean
Karnataka,83.74,48.21,68.45,17.92,71.4,6.24,0.31,October to March,potato
Assam,75.19,40.69,70.34,23.35,85.8,5.79,1.13,April to September,tea
West Bengal,48.14,31.89,43.07,29.02,79.7,7.45,5.69,June to September,soybean
Assam,68.37,30.82,69.6,29.86,72.3,6.93,13.33,June to September,cotton
Assam,67.13,40.73,69.47,25.76,89.8,4.82,13.09,April to September,tea
Gujarat,38.4,40.6,31.95,24.09,56.1,7.12,0.2,October to February,pulses
Andhra Pradesh,30.36,30.21,28.43,21.33,60.1,6.86,2.04,October to February,pulses
Maharashtra,82.16,53.17,61.57,28.56,78,6,0.04,June to September,rice
Rajasthan,47.96,39.04,55.28,26.82,57.2,6.61,0,September to March,tomato
Uttar Pradesh,88.64,47.08,79.75,17.51,64.5,6.73,0,October to March,potato
Kerala,30.9,32.27,42.06,21.61,74.2,7.88,2.53,October to February,pulses
Karnataka,58.98,28.38,67.57,32.73,53.4,7.42,0,June to September,bajra
Maharashtra,101,63.43,103.39,31.48,79.8,6.4,0,February to October,sugarcane
Telangana,79.76,39.79,62.63,31.41,62.2,6.02,1.1,June to September,cotton
Bihar,40.11,33.7,48.1,26.64,68.8,6.8,14.11,June to September,groundnut
Tamil Nadu,128.24,59.96,90.36,30.64,83.5,6.68,0,February to October,sugarcane
Uttar Pradesh,128.85,64.2,91.58,28.05,82.1,6.71,0.11,February to October,sugarcane
Madhya Pradesh,40.86,48.54,35.99,28.63,77.7,6.52,0.22,June to September,groundnut
Karnataka,50.56,46.59,72.96,22.66,88.3,6.11,2.56,March to September,coffee
West Bengal,75.78,54.38,51.36,27.11,86.7,5.56,3.29,June to September,rice
Punjab,72.52,32.79,57.21,26.91,64.5,7.05,4.45,June to October,maize
Uttar Pradesh,134.82,59.76,78.8,29.51,89.4,6.14,0.46,February to October,sugarcane
Karnataka,96.48,53.26,89.31,31.59,81.3,6.86,0.75,February to October,sugarcane
Kerala,62.25,49.27,49.22,27.49,65.3,5.5,3.59,June to September,soybean
Uttar Pradesh,78.24,55.97,68.61,17.93,73.2,7.08,0,October to March,potato
Jharkhand,56.27,46.25,36.57,26.06,67.4,6.5,1.92,June to October,maize
Himachal Pradesh,74.48,35.17,54.54,24.1,54,6.72,0.21,June to October,maize
Chhattisgarh,75.89,31.9,82,19.35,73.9,6.47,0,October to March,potato
Himachal Pradesh,71.21,32.58,62.49,19.88,72.5,6.49,0.08,October to March,onion
Bihar,53.71,38.49,48.25,20.39,67.7,6.63,0.57,September to March,tomato
Odisha,41.39,41.21,46.62,27.63,73,5.8,2.24,June to September,groundnut
Rajasthan,73.09,36.02,34.51,26.27,60.3,7.5,0.73,June to October,maize
Chhattisgarh,46.15,30.77,31.39,28.73,62.8,7.33,0.57,June to September,soybean
Maharashtra,55.59,42.6,48.72,30.88,72.6,7.52,1.09,June to September,cotton
West Bengal,83.02,45.28,51.11,29.59,85.4,6.53,19.25,June to September,rice
Karnataka,40.61,45.57,29.9,26.29,82.5,6.4,2.79,June to September,groundnut
Uttar Pradesh,67.14,40.95,48,26.88,66.8,6.38,0.16,June to October,maize
Manipur,59.76,36.59,55.29,29.14,70,7.38,2.28,June to September,cotton
Madhya Pradesh,94.12,45.56,45.72,13.68,56.1,7.1,0,November to March,wheat
Karnataka,77.91,33.69,42.07,23.94,61.1,5.81,7.93,June to October,maize
Jharkhand,66.19,47.4,41.67,25.36,71,6.21,0,June to October,maize
Jharkhand,49.66,29.89,28.81,21.3,52.3,6.05,0.18,October to February,pulses
Maharashtra,63.65,29.87,61.83,29.84,57.7,7.18,0.5,June to September,jowar
Kerala,49.89,26.82,27.48,22.86,62.8,7.91,3.04,October to February,pulses
Tamil Nadu,62.97,54.64,80.09,27.67,79.8,5.59,1.55,March to September,coffee
Karnataka,48.9,43.15,84.15,22.06,87.7,5.57,0,March to September,coffee
Gujarat,85.36,56.67,64.96,18.65,69.3,6.58,0.37,October to March,potato
Rajasthan,38.56,36.83,46.88,34.64,38.8,6.41,0,June to September,bajra
Punjab,86.99,43.4,45.42,12.53,48.5,6.37,0.08,November to March,wheat
Jharkhand,36.34,35.08,37.46,26.97,68.5,6.4,1.35,June to September,soybean
Himachal Pradesh,61.07,35.84,44.3,25.29,52.5,6.67,1.98,June to September,soybean
Uttar Pradesh,120.14,58.69,56.14,19.02,51.1,6.89,0.26,November to March,wheat
West Bengal,64.48,33.48,48.42,27.22,72.9,6.93,1.12,September to March,tomato
Uttar Pradesh,63.74,36.51,45.76,22.83,65.2,5.5,0.35,September to March,tomato
Karnataka,51.51,59.85,86.15,24.62,81,6.5,3.76,March to September,coffee
Jharkhand,27.34,28.28,31.78,23.06,61.9,6.54,0,October to February,pulses
Punjab,105.74,46.27,45.3,18.21,49.9,6,0,November to March,wheat
Karnataka,68.26,45.65,68.69,21.87,86,5.56,1.95,March to September,coffee
Jharkhand,93.92,38.45,48.86,28.96,64.8,6.6,0,June to September,jowar
Himachal Pradesh,53.34,33.06,40.67,27.67,62.4,6.11,0.28,June to September,soybean
Punjab,55.71,30.04,62.88,18,56,7.26,0.03,October to March,onion
Assam,66.06,49.56,86.8,20.96,87.6,5.24,12.66,April to September,tea
Tamil Nadu,70.11,41.93,54.62,30.58,47.8,6.78,2.52,June to September,jowar
Haryana,32.27,30.67,49.63,30.1,68.8,6.17,0,June to September,groundnut
Maharashtra,70.88,43.11,50.18,20.09,62.8,6,0,October to March,onion
Uttar Pradesh,45.28,45.22,39.43,29.12,74.8,5.52,0.6,June to September,groundnut
Madhya Pradesh,89.98,56.45,58.08,18.42,61.2,6.53,0,November to March,wheat
Punjab,76.21,52.07,52.12,16.15,53.4,7.57,1.57,November to March,wheat
Andhra Pradesh,68.43,29.31,59.66,29.66,55.2,6.08,1.94,June to September,jowar
Goa,38.36,41.36,51.42,28.73,77,6.7,8.02,June to September,groundnut
Rajasthan,69.04,55.65,45.75,26.85,62,6.99,0.22,June to October,maize
Tamil Nadu,99.97,61.3,82.68,33.65,78,7.1,8.35,February to October,sugarcane
Karnataka,51.87,20.53,49.65,35.46,49.8,8,1.41,June to September,bajra
Telangana,47,29.82,34.05,32.91,46.6,7.04,1.67,June to September,bajra
Karnataka,73.1,43.01,68.13,25.79,83.3,5.18,18.11,March to September,coffee
Goa,66.06,34.44,59.42,22.52,64,6.38,0.37,October to March,onion
West Bengal,58.86,23.18,26.14,35.1,49,6.2,2.61,June to September,bajra
Tripura,67.11,49.2,54.43,26.49,87.2,6.06,0.24,April to September,tea
Karnataka,75.95,42.99,73.37,20.77,85.7,6.49,0.68,March to September,coffee
Tamil Nadu,49.77,43.86,60.07,24.42,76.5,6.5,0.53,March to September,coffee
Assam,65.69,44.89,61.98,20.08,88.3,5.61,0,April to September,tea
Tamil Nadu,107.25,49.91,91.56,30.19,79.3,6.64,1.99,February to October,sugarcane
Maharashtra,47.63,36.89,45.17,27,69.7,7.5,0.48,June to September,soybean
Maharashtra,98.67,59.65,82.26,31.51,81.7,7.23,0.13,February to October,sugarcane
Punjab,50.43,35.77,35.55,29.77,37.9,7.54,0.09,June to September,bajra
Maharashtra,84.65,52.22,80.83,20.07,72.5,6.33,2.82,October to March,potato
Manipur,73.47,37.65,71.58,20.37,69,6.57,1.41,October to March,onion
Karnataka,59.63,40.57,83.28,23.7,83,5.63,1.99,March to September,coffee
Nagaland,80.86,41.03,52.35,26.93,71.8,6.54,3.08,June to October,maize
Tamil Nadu,49.8,22.14,43.41,20.23,61.2,6.42,1.56,October to February,pulses
Bihar,66.57,33.69,62.52,28.88,62.1,6.85,0.11,June to September,cotton
Bihar,61.31,36.91,57.21,25.96,65.8,6.17,5.77,June to September,soybean
Goa,67.33,33.06,61.81,30.5,65.5,6.63,4.24,June to September,cotton
Jharkhand,60.29,55.24,37.12,24.78,61.1,5.93,3.59,June to October,maize
Andhra Pradesh,47.44,30.35,51.8,30.11,74.1,5.77,3.25,June to September,groundnut
Karnataka,109.5,51.62,68.9,30.91,77,6.65,0,February to October,sugarcane
Jharkhand,66.05,27.82,44.78,33.06,44.3,6.47,0.52,June to September,bajra
Odisha,38.42,27.17,37.28,15.92,58.1,6.84,0.23,October to February,pulses
Madhya Pradesh,98.33,42.26,41.51,16.82,54.9,7.54,0.38,November to March,wheat
Tripura,85.48,52.87,65.84,16.52,82.1,6.35,0.39,October to March,potato
Himachal Pradesh,36.44,32.08,44.65,24,73.5,6.42,0,June to September,groundnut
Bihar,84.76,44.29,56.47,17.23,72.9,6.6,0,October to March,potato
Uttar Pradesh,70.96,31.84,50.97,30.53,55.3,6.94,0.83,June to September,jowar
Gujarat,62.96,33.46,48.69,29.28,51.8,7.5,1.51,June to September,jowar
Karnataka,42.03,29.29,41.49,23.32,61.5,6.83,0.25,October to February,pulses
Odisha,42.83,33.71,30.25,28.17,70.8,6.8,1.97,June to September,groundnut
Manipur,37.68,28.78,36.53,24.23,65.2,6.21,0,October to February,pulses
Tripura,35.96,37.87,38.73,28.81,73,5.77,1.49,June to September,groundnut
Maharashtra,39.71,35.62,41.42,27.92,78.7,7.02,0,June to September,groundnut
Tamil Nadu,71.11,35.75,78.6,21.97,70.2,6.62,1.51,October to March,onion
Uttarakhand,55.34,32.52,55.77,22.56,60.9,7.03,0,October to March,onion
Goa,44.51,33.37,33.3,23.5,64.7,6.01,0,October to February,pulses
Gujarat,67.68,40.51,48.63,24.15,69.6,6.61,0.55,September to March,tomato
Tamil Nadu,81.03,36.58,40.83,28.44,63.8,7.36,5.09,June to October,maize
Tripura,84.34,30.92,51.57,29.11,46.6,6.98,2.07,June to September,jowar
Goa,80.56,39.95,78.2,18.32,76,7.16,3.64,October to March,potato
Tripura,86.01,42.2,67.49,23.05,95,5.78,0,April to September,tea
Kerala,65.51,48.5,58.57,21.7,90.1,5.54,0,March to September,coffee
Odisha,90.19,34.64,48.6,25.24,67.3,6.86,0.48,June to October,maize
Chhattisgarh,59.47,44.93,74.39,31.14,49.7,6.94,2.88,June to September,jowar
Assam,67.88,44.53,61.88,26.23,90.2,4.53,4.19,April to September,tea
Andhra Pradesh,68.7,38.08,61.67,31.74,60,6.81,1.35,June to September,jowar
Uttarakhand,83.06,33.49,60.92,17.93,74.6,6.8,0.11,October to March,potato
Uttar Pradesh,123.96,57.24,87.86,29.04,74.4,6.72,1.06,February to October,sugarcane
Assam,53.75,35.33,56.45,22.68,74.2,6.9,0.45,September to March,tomato
Karnataka,69.52,45.16,73.89,24.58,81.4,6.1,0,March to September,coffee
Tamil Nadu,95.15,51,89.95,31.87,78.4,7.28,2.29,February to October,sugarcane
Karnataka,59.35,47.41,93.03,25.78,90.1,5.21,6.69,March to September,coffee
Maharashtra,42.37,36.11,54.91,29.7,72.4,6.93,6.04,June to September,groundnut
Jharkhand,70.06,53.56,83.09,19.8,74.7,6.32,5.43,October to March,potato
Punjab,77.79,51.41,50.61,14.1,56,6.86,0.34,November to March,wheat
Karnataka,91.68,58.37,92.98,31.37,85.2,7.5,7.45,February to October,sugarcane
Assam,91.56,60.42,37.09,24.02,71.5,6.36,10.15,June to October,maize
Kerala,64.68,49.1,72.5,27.14,87.3,6.05,1.81,April to September,tea
Bihar,60.25,39.27,45.95,22.62,64.3,5.79,4.91,September to March,tomato
Andhra Pradesh,63.14,54.81,35.05,29.64,87.6,6.1,8.41,June to September,rice
Goa,40.79,31.92,27.34,20.27,60.2,7.19,7.52,October to February,pulses
Punjab,90.91,38.6,43.21,18.54,44.1,6.57,0,November to March,wheat
Nagaland,67.34,26.13,73.11,21.39,71.1,6.84,0.21,October to March,onion
Odisha,85.9,40.48,41.08,26.87,82.6,7.3,12.55,June to September,rice
Nagaland,44.84,21.36,37.51,23.22,61.5,7.1,0,October to February,pulses
Uttarakhand,79.65,36.05,33.63,24.44,57.3,6.14,2.27,September to March,tomato
West Bengal,55.53,38.63,47.81,22.95,78.1,7.04,4.09,September to March,tomato
Tamil Nadu,119.93,42.43,83.74,31.77,78.9,6.59,2.28,February to October,sugarcane
Tripura,35.71,37.28,31.3,21.51,68.5,6.85,1.35,October to February,pulses
Uttarakhand,47.52,44.62,39.32,28.77,79.3,6.34,1.69,June to September,groundnut
Maharashtra,31.77,42.32,49.16,27.43,76.5,5.67,0.87,June to September,groundnut
Bihar,59.97,39.73,57.95,30.47,61.2,6.42,5.57,June to September,cotton
Madhya Pradesh,44.07,20.09,43.66,34.79,36.7,6.39,0,June to September,bajra
Karnataka,85.06,49.96,64.83,23.06,86.4,6.5,7.24,March to September,coffee
Assam,70.33,40.44,46.53,30.28,63.1,7.27,0,June to September,jowar
West Bengal,80.53,43.21,43.06,28.39,79.3,6.73,0.36,June to September,rice
Karnataka,51.8,34.13,73.67,21.09,58.6,7.3,1.15,October to March,onion
Assam,77.23,32.67,49.16,26.58,88.7,6.19,2.52,June to September,rice
Karnataka,61.37,26.9,58.5,22.03,57.1,7.11,1.62,September to March,tomato
Tripura,85.04,45.91,103.44,18.99,68.6,7.1,0,October to March,potato
Kerala,73.21,48.28,48.85,28.68,95,6.5,16.4,June to September,rice
Rajasthan,81.9,48.27,79.38,18.51,67.1,6.41,0,October to March,potato
Assam,61.12,49.54,72.02,24.73,85.9,5.16,2.69,April to September,tea
Karnataka,119.08,52.36,71.88,30.09,73.2,7.12,1.93,February to October,sugarcane
Kerala,56.73,45.84,52.65,25.16,88.4,5.59,2.27,March to September,coffee
Madhya Pradesh,65.66,22.08,41.36,34.09,50.8,6.4,0,June to September,bajra
Karnataka,56.77,34.41,83.81,23.66,87.3,6.02,2.02,March to September,coffee
Madhya Pradesh,78.69,51.53,57.13,31.49,43.1,6.66,0.78,June to September,jowar
Karnataka,61.33,39.93,61.65,28.52,68.6,6.48,0.78,June to September,cotton
Karnataka,74.88,31.1,51.22,27.43,68,5.67,0.14,September to March,tomato
Assam,62.84,67.19,86.47,24.37,90.1,5.71,1.27,April to September,tea
Bihar,32.22,39.07,36.32,27.54,80.2,5.55,0.62,June to September,groundnut
Tamil Nadu,54.52,39.82,57.82,22.87,64.4,6.54,0.28,October to March,onion
Goa,60.87,45.46,44.4,30.55,69.1,6.03,7.1,June to October,maize
Rajasthan,75.82,53.16,30.49,27.83,52.2,6.38,1.25,June to October,maize
Bihar,61.23,37.2,71.75,20.35,68.8,6.75,0.48,October to March,onion
Uttarakhand,64.43,33.39,46.89,19.54,59.3,7.5,0,October to March,onion
Tamil Nadu,52.96,43.02,63.99,19.73,74.4,6.27,7.71,March to September,coffee
Tripura,64.91,30.31,55.24,27.59,65.3,7.2,0.26,June to September,jowar
Maharashtra,84.01,72.58,90.92,29.95,77.8,6.88,1.87,February to October,sugarcane
Uttarakhand,73.03,39.87,36.85,26.26,61.4,5.86,3.62,June to October,maize
Tamil Nadu,57.55,34.64,64.14,22.02,55.5,6.88,0.7,October to March,onion
Tripura,70.21,54.97,49.73,23.88,87.1,5.9,0.02,April to September,tea
Assam,49.78,28.63,47.86,32.97,47.6,6.21,1.54,June to September,bajra
Telangana,67.66,49.77,59.11,30.01,65,6.47,1.11,June to September,cotton
Madhya Pradesh,40.92,35.72,32.79,26.96,73.3,5.62,0.41,June to September,groundnut
Andhra Pradesh,68.46,48.95,63.57,29.2,91.2,6.06,6.05,June to September,rice
Andhra Pradesh,88.59,41.15,45.69,31.93,82.5,6.97,2.85,June to September,rice
Chhattisgarh,62.6,43.05,74.06,20.03,67.4,6,1.12,October to March,onion
Tamil Nadu,116.97,47.61,72.53,30.84,79.1,7.44,9.82,February to October,sugarcane
West Bengal,52.19,33.8,40.67,27.63,57,6.94,0.2,June to September,soybean
Bihar,82.72,52.97,44.35,29.03,81.8,6.9,0.65,June to September,rice
Maharashtra,40.08,29.37,29.25,23.7,57.3,6.65,0.74,October to February,pulses
Karnataka,45.91,33.11,32.2,28.8,66.1,6.58,0.93,June to September,groundnut
Nagaland,45.5,34.54,35.27,25.43,77.2,6.74,0,June to September,groundnut
Karnataka,59.88,45.47,69.49,25.55,92.6,5.71,8.73,March to September,coffee
Assam,41.92,27.19,34.11,21.65,62.1,7.96,5.39,October to February,pulses
West Bengal,56.52,35.75,30.74,25.23,74.2,6.68,0.78,June to September,soybean
Madhya Pradesh,87.15,55.76,46.05,19.16,51.6,6.53,1.2,November to March,wheat
West Bengal,92.46,44.18,44.52,28.73,78,6.31,5.47,June to September,rice
Nagaland,43.06,36.76,43.28,30.24,63.7,6.24,6.93,June to September,cotton
Tamil Nadu,63.27,37.24,66.88,22.22,68.6,6.92,0.29,October to March,onion
Gujarat,65.24,41.81,81.16,20.65,69.4,7.04,0.32,October to March,potato
Goa,97.64,62.71,54.47,19.63,76.4,6.3,2.17,October to March,potato
Telangana,74.76,28.21,47.66,29.27,71.3,6.67,0.52,June to September,cotton
Tripura,72.01,58.01,67.5,23.23,87.7,5.69,25.18,April to September,tea
Manipur,66.38,40.25,62.83,30.24,76.5,5.76,3.01,June to September,cotton
West Bengal,54.15,35.46,45.4,25.77,72.3,6.56,4.23,June to September,soybean
Chhattisgarh,69.8,37.29,62.05,22.62,65.4,6.15,0.85,October to March,onion
Uttarakhand,52.18,38.44,54.45,32.73,52.2,7.31,0,June to September,bajra
Uttarakhand,77.88,48.39,44.69,27.08,67.9,7.03,4.68,June to October,maize
Bihar,68.96,54.26,45.65,25.74,60.9,5.83,0,June to October,maize
Himachal Pradesh,48.06,35.77,22.85,20.08,55.9,6.84,1.55,October to February,pulses
Uttar Pradesh,80.01,50.75,44.74,13.76,58.7,7.42,1.21,November to March,wheat
Nagaland,103.31,46.71,83.96,20.38,73.3,5.5,0,October to March,potato
Chhattisgarh,30.09,33.76,30.44,27.35,79.1,6.42,2.87,June to September,groundnut
Uttar Pradesh,55.17,32.52,47.28,27.02,59,6.49,6.71,June to September,soybean
Karnataka,72.54,30.56,52.18,31.16,73.6,7.15,0,June to September,cotton
Chhattisgarh,62.78,41.82,44.08,23.82,71.4,6.27,0.93,September to March,tomato
Assam,61.76,33.62,58.51,27.25,62.4,6.61,0.14,June to September,soybean
Uttar Pradesh,58.05,37.06,45.08,27.43,67.3,6.94,10.52,June to September,cotton
Punjab,50.31,36.41,47.64,26.78,60.9,6.38,0.33,June to September,soybean
Maharashtra,82.23,45.87,49.39,27.44,67.3,6.55,6.41,June to October,maize
Himachal Pradesh,37.94,18.49,23.61,20.27,53.3,6.75,0.36,October to February,pulses
Maharashtra,39.84,39.08,35.73,27.3,72.7,6.25,0,June to September,groundnut
Andhra Pradesh,79.08,49.82,45.67,28.52,88.4,6.25,6.42,June to September,rice
Haryana,74.59,49.82,41.3,18.56,50.8,7,0.43,November to March,wheat
Goa,97.67,38.29,61.51,18.57,85,7.19,0.84,October to March,potato
Chhattisgarh,65.84,36.84,76.53,20.52,65.6,7.29,0.62,October to March,onion
Tripura,35.87,33.81,27.84,29.32,70.2,6.54,6.14,June to September,groundnut
Tamil Nadu,68.04,44.04,77.86,21.97,87.3,5.91,2.47,March to September,coffee
Rajasthan,66.81,39.04,49.92,24.92,55.5,5.5,0,September to March,tomato
Gujarat,38.8,32.8,39.25,22.02,50.4,6.54,2.04,October to February,pulses
Odisha,47.77,30.89,40.47,25.68,68.5,6.82,4.24,June to September,soybean
Uttar Pradesh,96.19,43.47,45.31,18.4,57.7,6.96,0,November to March,wheat
West Bengal,36.94,25.69,35.04,20.05,54.3,6.87,2.35,October to February,pulses
Bihar,69.48,29.01,70.25,29.19,44.4,6.46,3.99,June to September,jowar
Tamil Nadu,69.72,49.54,47.41,30.63,79.7,6.39,1.52,June to September,rice
Jharkhand,57.75,35.18,59.04,27.48,60.8,6.83,0,September to March,tomato
Rajasthan,67.84,40.59,52.93,28.49,60,6.56,0.46,June to October,maize
Karnataka,76.22,56.21,49.9,23.82,56.9,7.23,0.02,June to October,maize
Assam,89.68,30.44,46.43,24.39,75.8,6.96,0,September to March,tomato
Chhattisgarh,76.22,61.22,41.57,30.24,71.1,5.5,1.8,June to October,maize
Punjab,92.71,50.34,40.31,18.51,55.6,7.53,0.01,November to March,wheat
Bihar,83.96,49.48,57.6,28.47,88.1,5.5,0.65,June to September,rice
Goa,74.46,35.46,46.06,23.69,70.5,6.25,0.26,September to March,tomato
Chhattisgarh,77.89,39.01,80.12,17.9,77.4,6.62,0,October to March,potato
Bihar,45.99,31.42,45.57,27.52,81.4,6.92,0.2,June to September,groundnut
Madhya Pradesh,57.93,40.78,62.12,21.63,65.6,6.96,1.33,October to March,onion
Haryana,62.05,38.95,53.68,27.59,63.7,5.62,0.83,September to March,tomato
Haryana,101.4,52.71,44.95,20.24,40,7.8,0.8,November to March,wheat
Tamil Nadu,92.44,54.2,58.33,29.26,77.6,6.83,0,June to September,rice
Andhra Pradesh,65.96,43.51,33.75,29.9,74.2,6.69,0.14,June to September,soybean
Manipur,77.47,44.9,41.26,25.26,70.1,7.13,3.48,June to October,maize
Haryana,66.47,26.5,63.86,24.46,66.2,5.85,0.14,September to March,tomato
Telangana,78.06,40.55,63.53,30.67,54,6.46,1.24,June to September,jowar
Himachal Pradesh,76.71,40.92,42.99,29.53,67.6,7.28,1.44,June to September,cotton
Assam,99.31,49.22,45.18,25.73,85.5,6.92,8.1,June to September,rice
Tamil Nadu,35,39.66,49.34,27.63,78,6.55,0.59,June to September,groundnut
Andhra Pradesh,67.21,38.13,75.72,19.46,71.4,6.52,0.24,October to March,potato
Chhattisgarh,57.84,37.35,34.8,28.29,63.4,6.55,0.61,June to October,maize
Uttar Pradesh,31.9,50.22,44.1,25.36,75.6,6.42,0,June to September,groundnut
Goa,71.18,46.36,45.15,21.61,71.1,6.65,0,October to March,onion
Jharkhand,58.3,28.3,48.46,26.16,68.3,5.91,3.35,September to March,tomato
Odisha,82.45,43.96,41.37,28.57,82.4,7.13,4.99,June to September,rice
Assam,65.02,42.19,40.88,25.21,67.9,6.32,2.29,June to October,maize
Telangana,66.59,32.23,66.07,30.66,61.4,7.62,0.33,June to September,jowar
Tamil Nadu,98.98,62.01,71.68,29.23,76.5,6.23,0.79,February to October,sugarcane
Maharashtra,89.55,50.09,61.32,17.7,70.1,6.75,0.83,October to March,potato
Kerala,81.79,56.2,74.45,22.25,89.5,5.15,2.08,March to September,coffee
Odisha,33.19,40.2,36.08,28.99,64.7,6.02,0.51,June to September,groundnut
Madhya Pradesh,87.53,54.42,41.12,17.43,63.2,6.99,0,November to March,wheat
Uttar Pradesh,112.46,47.16,81.73,28.39,84.7,6.22,0,February to October,sugarcane
Assam,33.89,31.67,40.36,29.25,71.4,5.56,10.1,June to September,groundnut
Odisha,60.14,44.08,40.46,28.08,63,6.14,10.33,June to October,maize
Tamil Nadu,95.24,57,89.12,28.39,78.4,6.36,0,February to October,sugarcane
West Bengal,62.26,25.93,42.35,33.17,43.5,7.08,0.73,June to September,bajra
Assam,46.12,31.9,37.55,22,63.3,7,0.74,October to February,pulses
Bihar,71.06,54.57,53.31,27.96,88.3,6.96,0,June to September,rice
Chhattisgarh,51.16,32.44,42.71,32.6,48.6,7.14,0.57,June to September,bajra
Assam,50.87,36.89,40.12,25.2,74.6,6.51,2.49,June to September,soybean
Haryana,69.42,43.78,34.62,26.72,59.9,7.38,0.69,June to September,soybean
Haryana,61.32,34.33,53.21,20.1,64,6.06,0.61,September to March,tomato
Maharashtra,57.32,28.6,43.14,34.73,47.3,7.39,0.65,June to September,bajra
Uttar Pradesh,100.74,39.19,44.2,18.57,58,6.02,0.53,November to March,wheat
Telangana,39.88,34.32,28.22,29.24,70.4,6,0.25,June to September,groundnut
Madhya Pradesh,69.21,64.37,61.93,18.01,64.1,6.54,0,October to March,potato
Karnataka,79.76,43.23,61.34,23.94,91.2,5.77,1.84,March to September,coffee
Tamil Nadu,62.58,50.95,71.72,25.56,75.5,5,0.92,March to September,coffee
Karnataka,130.17,52.32,77.03,30.45,80.5,7.38,0.36,February to October,sugarcane
Gujarat,39.06,32.72,39.07,28.28,63.8,6.07,4.26,June to September,soybean
Andhra Pradesh,84.11,58.2,55.25,29.23,81.8,6.64,0.4,June to September,rice
Goa,71.02,38.43,62.8,20.69,74.1,6.34,2.68,October to March,onion
Tripura,65.25,42.71,65.99,25.63,90,6.14,0,April to September,tea
Himachal Pradesh,84.58,38.04,76.83,15.82,74.1,6.72,0.14,October to March,potato
Haryana,101.81,40.2,44.99,17.76,54.9,7.06,0,November to March,wheat
Odisha,48.57,27.34,65.96,30.2,69.9,7.25,11.69,June to September,cotton
Assam,75.13,36.09,54.7,21.56,94.2,5.87,4.31,April to September,tea
Karnataka,74.46,32.2,45.72,22,75.1,6.73,0.39,September to March,tomato
Goa,60.77,37.78,63.42,20.31,65,6.3,0.51,October to March,onion
Uttar Pradesh,65.45,49.85,34,25.37,61.3,6.69,2.43,June to October,maize
Andhra Pradesh,70.9,50.14,54.65,29.34,90.8,6.75,6.54,June to September,rice
Himachal Pradesh,77.88,28.36,55.68,28.2,52.2,6.56,0,June to September,jowar
Himachal Pradesh,41.47,28.44,31.44,17.58,56.1,6.98,0.53,October to February,pulses
Uttarakhand,48.07,32.15,44.03,33.64,49.1,6,0.36,June to September,bajra
Rajasthan,64.55,40.64,43.27,27.64,54.3,5.73,1.44,June to September,soybean
Bihar,60.09,38.96,45.88,28.41,59.5,6.71,3.51,June to September,soybean
Karnataka,70.05,26.96,39.19,34.2,39.7,7.04,0.86,June to September,bajra
Bihar,30.55,25.53,36.73,19.75,55.4,6.66,0.85,October to February,pulses
Maharashtra,103.49,62.47,88.09,28.78,83,7.03,4.6,February to October,sugarcane
Telangana,35.22,33.93,33.57,21.31,61.6,6.99,0.66,October to February,pulses
Uttar Pradesh,126.3,64.42,112.34,29.61,83,6.64,4.36,February to October,sugarcane
Tamil Nadu,53.95,33.81,63.7,25.88,85.3,5.62,10.14,March to September,coffee
Bihar,75.07,39.19,44.27,29.32,86.2,6.52,1.07,June to September,rice
Punjab,103.56,43.49,42.86,15.1,65.3,6.55,0.18,November to March,wheat
Jharkhand,61.23,44.48,45.83,30.31,55.3,6.86,1.43,June to September,jowar
Assam,69.11,52.87,83.52,25.78,84.1,5.3,3.26,April to September,tea
Uttarakhand,56.24,28.84,36.82,33.05,46.1,6.38,0.33,June to September,bajra
Kerala,47.88,29.25,41.67,34.97,43.5,7.77,0.44,June to September,bajra
Nagaland,50.32,29.54,47.13,26.51,64.3,7.1,2.53,June to September,soybean
Assam,30.18,30.25,38.87,21.81,74.4,7.5,1.84,October to February,pulses
Nagaland,50.09,28.88,52.5,21.7,79.8,6,2.15,October to March,onion
Maharashtra,120.12,55.42,74.43,32.46,75.6,6.43,0.9,February to October,sugarcane
Tamil Nadu,62.01,33.05,48.48,29.72,65,6.68,2.99,June to September,soybean
Telangana,59.97,38.33,47.09,31.98,58.6,7.01,4.46,June to September,jowar
Karnataka,57.28,39.39,59.33,27.62,55.2,6.07,0.35,June to September,cotton
Uttar Pradesh,84.39,47.08,60.45,20.81,80.5,6.23,0,October to March,potato
Gujarat,62.33,38.56,73.7,22.75,65.2,7.5,0.4,October to March,onion
Tamil Nadu,99.07,52.18,74.48,30.78,86.9,7.36,1.97,February to October,sugarcane
Chhattisgarh,82.26,43.08,60.13,19.69,63,7.03,0.06,October to March,potato
